epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.197,5.23408,9.80097,0.95624,0.35723,0.33803,0.2852,0.13629,5.47313,7.00989,0.96153,0.019255,0.000405754,0.000405754
2,520.142,4.24076,5.73051,0.81747,0.62177,0.61594,0.65211,0.31261,4.96393,4.41745,0.87716,0.000480058,0.000480058,0.000480058
3,743.29,3.62264,4.04388,0.7103,0.76586,0.63164,0.6988,0.35682,4.53229,3.85198,0.80641,0.000460115,0.000460115,0.000460115
4,966.385,3.3589,3.37107,0.6697,0.75428,0.72351,0.77049,0.40891,4.55072,3.226,0.7991,0.000440173,0.000440173,0.000440173
5,1189.44,3.16758,2.90053,0.63908,0.87555,0.69353,0.77829,0.42749,4.56667,2.97502,0.80224,0.00042023,0.00042023,0.00042023
6,1412.35,2.9591,2.62319,0.61115,0.84967,0.76369,0.79638,0.43561,4.65497,3.08042,0.82219,0.000400288,0.000400288,0.000400288
7,1635.41,2.83365,2.38642,0.59092,0.86446,0.73584,0.80093,0.45543,4.45319,2.87467,0.79456,0.000380346,0.000380346,0.000380346
8,1858.24,2.69851,2.24094,0.57166,0.87596,0.77072,0.81373,0.46729,4.38996,2.69168,0.79675,0.000360403,0.000360403,0.000360403
9,2081.1,2.56369,2.06584,0.55282,0.84124,0.76892,0.82254,0.47035,4.63839,2.8055,0.82957,0.000340461,0.000340461,0.000340461
10,2303.94,2.47004,1.95384,0.54011,0.91022,0.73135,0.79917,0.46039,4.44386,2.65346,0.81451,0.000320518,0.000320518,0.000320518
11,2526.67,2.38336,1.90485,0.52961,0.9048,0.74227,0.81366,0.45514,4.40471,2.68035,0.80932,0.000300576,0.000300576,0.000300576
12,2749.35,2.32788,1.81855,0.52141,0.85268,0.76469,0.80701,0.47779,4.22761,2.70476,0.78286,0.000280634,0.000280634,0.000280634
13,2972.31,2.24522,1.77549,0.50919,0.89744,0.74675,0.77772,0.4561,4.44365,2.84692,0.82047,0.000260691,0.000260691,0.000260691
14,3195,2.15881,1.69288,0.50048,0.88438,0.77337,0.82725,0.50714,4.31125,2.64053,0.81393,0.000240749,0.000240749,0.000240749
15,3417.88,2.09385,1.63226,0.49158,0.89144,0.75543,0.8318,0.48773,4.38137,2.6112,0.82521,0.000220806,0.000220806,0.000220806
16,3641.25,1.70041,0.89824,0.45345,0.89068,0.78458,0.83313,0.49919,4.33626,2.48736,0.83178,0.000200864,0.000200864,0.000200864
17,3864.06,1.62728,0.86405,0.4432,0.88566,0.77762,0.83212,0.51069,4.23175,2.60189,0.81377,0.000180922,0.000180922,0.000180922
18,4086.59,1.55572,0.81575,0.43355,0.88185,0.7842,0.81092,0.50263,4.23811,2.54921,0.82776,0.000160979,0.000160979,0.000160979
19,4309.22,1.49972,0.78538,0.42632,0.86639,0.76021,0.82782,0.50396,4.33973,2.6986,0.8325,0.000141037,0.000141037,0.000141037
20,4531.8,1.44215,0.75356,0.42002,0.9129,0.74153,0.83163,0.50893,4.2806,2.65272,0.83604,0.000121094,0.000121094,0.000121094
21,4754.15,1.39865,0.73061,0.41348,0.91904,0.7336,0.8204,0.50924,4.24823,2.59408,0.83517,0.000101152,0.000101152,0.000101152
22,4976.45,1.3597,0.71787,0.40859,0.9007,0.76932,0.82178,0.51648,4.23328,2.5069,0.83435,8.12096e-05,8.12096e-05,8.12096e-05
23,5199.12,1.31433,0.6976,0.40421,0.8922,0.76591,0.82388,0.52178,4.12492,2.52685,0.81835,6.12672e-05,6.12672e-05,6.12672e-05
24,5421.54,1.28772,0.68611,0.40203,0.86647,0.77112,0.82171,0.52035,4.13021,2.52456,0.81955,4.13248e-05,4.13248e-05,4.13248e-05
25,5643.85,1.24662,0.66839,0.39666,0.89151,0.75576,0.81766,0.52455,4.14515,2.54129,0.82608,2.13824e-05,2.13824e-05,2.13824e-05
